ratings,title,content,company,review_website
1,3 Oberlo Stores Later - This is What I Learned,"When I first discovered Oberlo, I was beyond excited to begin using this app in combination with Shopify to try my hand at dropshipping, especially after reading all the success stories using Oberlo. Now three stores later, I can tell you what I've learned.The Oberlo App & CompanyThe app itself is a well designed and functioning service with a good user interface. Oberlo makes it easy to browse and import products into your Shopify store. The main problems with Oberlo doesn't have as much to do with the app itself but rather, the inner workings of its network of suppliers, products and what I would call ""hidden"" information.The company has good resources in place for you (although I think many of them are a little biased as they are all directed in favor of Oberlo obviously). They have videos and blogs for how to get started as well as tips and tricks for dropshippers using Oberlo. Their customer service is decent in terms of professionalism however, this doesn’t always translate the same in regards to problem resolution.Hidden InformationCheck the Oberlo blog or look around online and you'll find Oberlo has some really positive reviews. Check out their blog and ""case studies"" and you'll see plenty of success stories for dropshippers using Oberlo. Dig a little deeper though and you'll see many of the blog articles that discuss the success of Oberlo users were written by Oberlo staff, so obviously they are going to promote their service. Look even closer and you'll see that the success stories are for a very small percentage of Oberlo users. You also don’t have to dig too far to see negative feedback and reviews from many Oberlo users.Here are some things Oberlo doesn't tell you when you get started that are crucial for your success:- Illegal Products -Even though all the products in the Oberlo catalog are available to import into your store, many of these products are brand-name knockoffs or counterfeit products, that if you import into your store and sell, SHOPIFY WILL WITHHOLD YOUR PAYMENTS because it is illegal to sell these types of products on the Shopify platform (this actually happened to me). For example, search in Oberlo for products from popular video games like Super Mario or The Legend of Zelda. You'll find tons of products under these categories. Even though these are available to import into your store, these products cannot be sold on Shopify. This is an example of ""hidden"" information that you do not know going into the Oberlo experience. Oberlo says: ""Oh yeah browse our massive catalog of products and import anything into your store. It's easy with just a few clicks!"" When in reality they should mention, ""Oh by the way, there is a TON of products that technically can't be sold on Shopify but you'll figure that out eventually..."" The reason these video games products (for example), can't be sold on Shopify, is because they are counterfeit or knockoff products. For Super Mario, these suppliers are not licensed by Nintendo to sell these products. That is why you won't see the Nintendo logo on any of them. China has some very relaxed laws around copyright infringement and trademarks and so these suppliers in China are able to produce these counterfeit and knockoff products with relative immunity while operating in China. As a merchant outside of China however, as soon as you start shipping to the West where copyright and trademark laws are heavily enforced, you'll be hit with the full weight of the law. This means it is ILLEGAL for you to be selling counterfeit or knockoff products such as these and you could possibly be sued into bankruptcy. Don't worry though, Shopify will likely close your store down and withhold your payment before that happens. This was a fun introduction into the Oberlo experience.- Product Quality -The Oberlo team will rebuttal this by saying you should always order the products you want to sell first, to review the shipping times and product quality (although you likely won't find that information for a while) however, the reality is essentially all of the products in the Oberlo catalog are incredibly cheap and disappointing once they arrive. The product images can be very misleading which can set high expectations for your customers and then truly damage your customers experience when they receive their product. As you might've have guessed, that is not a good strategy for a successful business. Your relationship with your customers is vital to your success and selling them cheap products is not only misleading, it's ultimately bad for business. Have you ever heard of Wish? If not, download the app on your mobile device to see what I mean. Wish shows you lots of interesting products and many seem to be of decent quality. Once you receive your order from them (if it ever arrives), you'll understand how poor the quality is. The same products you'd find in the Wish store, are the same type of products you'll find in the Oberlo catalog and honestly, if you have any kind of desire for ethical business practices, you won't be able to, in good conscience, stand behind these products.- Shipping Times -Searching products in Oberlo, you can see the estimated shipping times of the products you want to import. Already they are quite high ranging from 12-50 days which in this day and age, is unacceptable as far as consumers are concerned. The only way your customer would be okay with waiting that long is if the price they paid for the product was highly affordable (which it can’t be or you’ll make no profit on your markup), or if the product was good quality and therefore worth the wait. Unfortunately neither of these are true most of the time. Your product won’t be highly affordable because you need to make a profit and the product quality is so poor that your customer will not only be upset for the long shipping time, but they’ll be upset at the quality of their product when it arrives. After ordering off Oberlo, my quickest shipping time to Canada and the US was just over 3 weeks. That was the QUICKEST.Poor Product Quality + Long Shipping Times = Angry customersOberlo claims you can have faster shipping with epacket  or their US warehouses however, I never saw a faster shipping time than 3 weeks.- Insane Competition - Pretty much all the items available to sell in the Oberlo catalog are from Aliexpress or Alibaba (or available on those platforms). For those of you who don’t know, these are a massive network of Chinese manufacturers. Oberlo Supply is also available and this means you don’t have to go through Aliexpress however, the Oberlo Supply products only account for a small percentage of the Oberlo catalog limiting your selection.Basically all the products or types of products you can sell using Oberlo are already available and being sold on Aliexpress, Alibaba, Wish, Amazon and others (not to mention the thousands of other Oberlo users selling the same products in their store), and they are selling these products MUCH CHEAPER than you could ever afford to. Why? Because they are huge companies and they generate enough sales where they don’t have to markup the product as much as you’ll have to when starting your ecommerce store in order to generate a profit. Basically, you’ll be selling the same products as these major outlets but for more money. If anyone was to Google search a product on your store that you imported from Aliexpress, the search results would always turn up Aliexpress first. Always. So consumers looking for these products can go directly to Aliexpress, Alibaba or Wish and find all the products that you have available to sell but for less money. One of the reasons why Wish is so successful despite their poor product quality is because they can literally afford to sell these items for super cheap. I’ve bought $6 shoes from Wish and a $14 winter jacket. Were they great quality? Hell no. Were they cheap enough that they were worth the price? Pretty much. That’s why I was okay with these purchases because I felt I got what I paid for. If I had paid $40 for the shoes and $65 for the winter jacket and I saw the quality, I’d be furious and demand a refund, especially after these insane shipping times (sometimes 3+ months). My point is, if the customer doesn’t have to pay much, they might not complain however, if you sell a cheap product for a higher price, your customers will complain.- AMAZON! AMAZON! AMAZON! -What you may not know as a new ecommerce entrepreneur is that Amazon DOMINATES the ecommerce world. Seriously. Whatever you can do or sell, they can do or sell the same thing better, cheaper and faster.Why would a customer wait 15+ days for shipping from your store when they can buy from Amazon and have it delivered in 2 days with Amazon Prime for less money? Exactly. They won’t. When consumers search online for products to buy, Amazon is almost always the first result they see. This means that customers will never find you (unless you sell unique one-of-a-kind products), through search engines because Amazon will always display first, and likely for a lower price.What this ultimately translates into is that, you’ll need to rely almost entirely on direct advertising to reach your potential customers. This means your product markup has to be high enough to get an acceptable ROI (return on investment). Additionally, your ad campaigns will need to be flawless and refined in order to reach your exact target audience. This can only come with trial and error which costs a fair amount of money. So don’t be fooled by what anyone else says, the absolute minimum you would need for marketing your store using Oberlo products to begin generating sales is around $1000 (and I mean sales, not profit). ***can't post the rest of my review for 24 hours due to word maximum reached on this post***",Oberlo,Trustpilot
1,Not Fit for UK Market,"We're trying Oberlo but desperately looking for another dropshipper who can supply fashion items much more quickly. This app is not suitable if your business serves consumers in the UK. This is the 'next day delivery' era and waits of 25, 30, 40 and even 50 days is a complete non-starter. Great app, but offering a customer experience that is 10 years out of date. The same products are available on Wish for less than we are being asked to pay.If, Oberlo, you are serious, I have some advice: Please find dropshippers with EU warehousing for us Brits.Offer us much quicker delivery times, so we can provide the customer experience that consumers now demand.This app is a great idea but completely useless if you are serious about delivering exceptional user experiences on your website. The maximum delivery time should be 7 days.Very disappointed.",Oberlo,Trustpilot
1,Oberlo is part of the Shopify group,"Oberlo is part of the Shopify group, and they are a nightmare to deal with! If you're a Shopify ecommerce user you are heavily persuaded to use Oberlo because they have ""verified suppliers"". We tried a couple of these suppliers and they were slow and useless. One didn't even deliver the goods.We also found charges from Oberlo on our credit card that made no sense.WARNING- don't deal with Shopify / Oberlo it's just a big scam with so many charges that your margins will disappear.As others have said, when you try to deal with them they are evasive and in total denial. Once they get your money they will NEVER give you a refund just play lots of games.Just make a complaint to consumer affairs.",Oberlo,Trustpilot
1,Absolutely disgusted!,Absolutely disgusted with their customer service!  Upgraded to their $29 plan and cancelled 5 minutes later without using it as we decided to go with Dropified instead.  They REFUSED and lied by saying we used it which we absolutely didn't as it was rubbish!,Oberlo,Trustpilot
3,Maybe too good to be true!,"I’m giving three stars base that i READ that is THE place to be if you are a e commerce entrepreneur. Got my email confirmed but then i count sign in..NEVER! I live in Central America, is it a location issue? Shouldn’t it be global?Would love to give an update if there is a chance to actually tri it",Oberlo,Trustpilot
1,1 Star for the Suppliers,"I give 1 star not to the application but to the suppliers they work with. The core of the app are the suppliers from China. The app works perfectly, it is affordable and has all the features you can imagine. It's a dream of a starter. At first steps everything is fine. You don't notice that anything is wrong before your first 20-30 orders. After that undelivered orders and wrong orders are piling up and getting out of control. The suppliers would not refund them and will keep giving standard answers like you have to wait for 1-2 weeks (when 1 month is already passed or the order was shipped to a wrong country) or simply reply with one word after your lengthy explanations, Why?This is taking so much time and creating so much frustration on the customer side that I would better not do any business than see the undelivered orders, unhappy customers and disputes piling up.",Oberlo,Trustpilot
4,Good interface and easy to setup,,Oberlo,Trustpilot
1,Worst customer service ever,Worst customer service ever ! I'm using Oberlo for my e-store and what can I say...I had problems with all my orders and they never replied to any of my email or tweets. It's like they don't have any customer service. It's a shame that it is the only app for dropshipping because of this they don't care about the service.I advise you to reach someone with some experience to help you because they wont. WORST CUSTOMER SERVICE EVER !,Oberlo,Trustpilot
1,Bad Service,"Bad service lots of returns and non responsive suppliers. Should have figured it out by checking past stores, all closed down...",Oberlo,Trustpilot
2,I use Oberlo for my Shopify store,"I use Oberlo for my Shopify store. So I bought mascara back in beginning of Dec 17', I haven't received it yet.Plus after ordering it, the fraud dept. from my bank called me. My card was used (unsuccessfully) in Bethlehem for a AT & T bill.Use to have Doba, an thinking of going back. They have an excellent rating w the BBB",Oberlo,Trustpilot
1,They don’t have a customer service …,They don’t have a customer service phone number. Who gets away with that? Their App doesnt load all of the pictures from the products on to the Shopify products page. Only 1 or 2 pictures transfer.Wasting time trying to find someone to help.,Oberlo,Trustpilot
5,Without oberlo shopify is so difficult …,Without oberlo shopify is so difficult to use,Oberlo,Trustpilot
5,The experience Oberlo gives is …,The experience Oberlo gives is overwhelming. The apps and channel connections available definitely provides the much needed help for advertising your shop getting your brand in front of many potential customers. Easy of use and sells.....- Mark,Oberlo,Trustpilot
5,Everything you need as an online …,Everything you need as an online seller!!! Good job Oberlo!,Oberlo,Trustpilot
5,Easy to use,Easy to use. Does what it says.,Oberlo,Trustpilot
5,So far so good,So far so good. Many things to explore. Thank you.,Oberlo,Trustpilot
5,Easy to use and self explanatory,Easy to use and self explanatory. i like it,Oberlo,Trustpilot
5,My mind is blown at how amazingly easy …,My mind is blown at how amazingly easy and valuable Oberlo is for my website. I am so happy I found this tool.,Oberlo,Trustpilot
5,The best app ever made for …,"The best app ever made for Dropshipping. It just makes everything so easy. The best part was importing the pictures from Ali. In addition, the support team is really humble and always ready to help!!!",Oberlo,Trustpilot
5,Very efficient to do business!!!!,,Oberlo,Trustpilot
5,Great app for shopify,Great app for shopify! Its so easy to fulfill orders!,Oberlo,Trustpilot
5,SO FAR AS A BEGINNER I AM LEARNING FAST,SO FAR AS A BEGINNER I AM LEARNING FASTTHE VIDEOS   ARE VERY HELPFUL,Oberlo,Trustpilot
5,Thanks OBERLO!,"I think Oberlo is Great and a Lifestyle changer, Thanks.",Oberlo,Trustpilot
5,Great application,Great application! Very useful and easy to use....Helps me a lot!,Oberlo,Trustpilot
5,Excellent,Excellent! This is what everyone looking into on line shopping should think of.,Oberlo,Trustpilot
5,TEAM PLAYERS,THANKS FOR THE SUPPORT,Oberlo,Trustpilot
4,really help and usefu apps..thanks,really help and usefull apps..thanks,Oberlo,Trustpilot
5,Very simple to maneuver and tons of …,Very simple to maneuver and tons of products to choose.,Oberlo,Trustpilot
5,Oberlo is awesome,,Oberlo,Trustpilot
5,very helpful so far,,Oberlo,Trustpilot
5,easy to use,easy to use. i love it!!,Oberlo,Trustpilot
5,i never believe review statement but i …,i never believe review statement but i found my self as one writing my comment. it as easy as ABC. GOOD bless you for this wonderful ideas.,Oberlo,Trustpilot
5,Personally I have just gotten started …,Personally I have just gotten started with Oberlo but so far its fast and simple to use,Oberlo,Trustpilot
5,LOVE IT!!!,"I'm totally new at building a website ! The tutorial was amazing and very easy to follow. For someone like me, easy to follow is exactly what i need. If I get stuck I ask the question and have an immediate response. Hopefully my store will do well! :)  I have definiotely been encouraging people know to  check it out and will continue to do so.",Oberlo,Trustpilot
5,It is a great app for beginners and its …,It is a great app for beginners and its interface is very simple and easy to understand. Very helpful app,Oberlo,Trustpilot
