InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Amount
537065,22634,CHILDS BREAKFAST SET SPACEBOY ,2,12/5/2010 11:57,9.95,12567,France,19.9
537065,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,12/5/2010 11:57,9.95,12567,France,19.9
537065,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,12/5/2010 11:57,8.5,12567,France,17
537065,22180,RETROSPOT LAMP,4,12/5/2010 11:57,9.95,12567,France,39.8
537065,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,12/5/2010 11:57,0.29,12567,France,6.96
537065,21981,PACK OF 12 WOODLAND TISSUES ,24,12/5/2010 11:57,0.29,12567,France,6.96
537065,21982,PACK OF 12 SUKI TISSUES ,24,12/5/2010 11:57,0.29,12567,France,6.96
537065,22614,PACK OF 12 SPACEBOY TISSUES,24,12/5/2010 11:57,0.29,12567,France,6.96
537065,22615,PACK OF 12 CIRCUS PARADE TISSUES ,24,12/5/2010 11:57,0.29,12567,France,6.96
537065,84870B,BLUE GEISHA GIRL ,4,12/5/2010 11:57,3.75,12567,France,15
537065,84870C,GREEN GEISHA GIRL ,4,12/5/2010 11:57,3.75,12567,France,15
537065,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,12/5/2010 11:57,1.65,12567,France,19.8
537065,22551,PLASTERS IN TIN SPACEBOY,12,12/5/2010 11:57,1.65,12567,France,19.8
537065,16238,PARTY TIME PENCIL ERASERS,28,12/5/2010 11:57,0.21,12567,France,5.88
537065,85227,SET OF 6 3D KIT CARDS FOR KIDS,12,12/5/2010 11:57,0.85,12567,France,10.2
537065,22632,HAND WARMER RED RETROSPOT,12,12/5/2010 11:57,2.1,12567,France,25.2
537065,21829,DINOSAUR KEYRINGS ASSORTED,36,12/5/2010 11:57,0.21,12567,France,7.56
537065,21556,CERAMIC STRAWBERRY MONEY BOX,6,12/5/2010 11:57,2.55,12567,France,15.3
537065,22644,CERAMIC CHERRY CAKE MONEY BANK,12,12/5/2010 11:57,1.45,12567,France,17.4
537065,22390,PAPERWEIGHT CHILDHOOD MEMORIES,6,12/5/2010 11:57,2.55,12567,France,15.3
537065,22483,RED GINGHAM TEDDY BEAR ,6,12/5/2010 11:57,2.95,12567,France,17.7
537065,21054,NURSE'S BAG SOFT TOY,6,12/5/2010 11:57,8.95,12567,France,53.7
537065,21055,TOOL BOX SOFT TOY ,6,12/5/2010 11:57,8.95,12567,France,53.7
537065,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,12/5/2010 11:57,1.25,12567,France,15
537065,22619,SET OF 6 SOLDIER SKITTLES,4,12/5/2010 11:57,3.75,12567,France,15
537065,84963A,PINK PAINTED KASHMIRI CHAIR,4,12/5/2010 11:57,42.95,12567,France,171.8
537065,POST,POSTAGE,9,12/5/2010 11:57,18,12567,France,162
537463,22961,JAM MAKING SET PRINTED,12,12/7/2010 10:08,1.45,12681,France,17.4
537463,21224,SET/4 SKULL BADGES,10,12/7/2010 10:08,1.25,12681,France,12.5
537463,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,18,12/7/2010 10:08,2.95,12681,France,53.1
537463,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,12/7/2010 10:08,1.25,12681,France,30
537463,21121,SET/10 RED POLKADOT PARTY CANDLES,24,12/7/2010 10:08,1.25,12681,France,30
537463,21137,BLACK RECORD COVER FRAME,4,12/7/2010 10:08,3.75,12681,France,15
537463,22041,"RECORD FRAME 7"" SINGLE SIZE ",6,12/7/2010 10:08,2.55,12681,France,15.3
537463,22037,ROBOT BIRTHDAY CARD,12,12/7/2010 10:08,0.42,12681,France,5.04
537463,22027,TEA PARTY BIRTHDAY CARD,12,12/7/2010 10:08,0.42,12681,France,5.04
537463,21506,"FANCY FONT BIRTHDAY CARD, ",12,12/7/2010 10:08,0.42,12681,France,5.04
537463,21064,BOOM BOX SPEAKER BOYS,4,12/7/2010 10:08,5.95,12681,France,23.8
537463,21238,RED RETROSPOT CUP,16,12/7/2010 10:08,0.85,12681,France,13.6
537463,22191,IVORY DINER WALL CLOCK,2,12/7/2010 10:08,8.5,12681,France,17
537463,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,12/7/2010 10:08,2.55,12681,France,15.3
537463,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,12/7/2010 10:08,2.55,12681,France,15.3
537463,22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,12,12/7/2010 10:08,0.85,12681,France,10.2
537463,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,12/7/2010 10:08,0.85,12681,France,10.2
537463,20719,WOODLAND CHARLOTTE BAG,10,12/7/2010 10:08,0.85,12681,France,8.5
537463,21680,WOODLAND  STICKERS,12,12/7/2010 10:08,0.85,12681,France,10.2
537463,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,12/7/2010 10:08,1.65,12681,France,19.8
537463,21212,PACK OF 72 RETROSPOT CAKE CASES,24,12/7/2010 10:08,0.55,12681,France,13.2
537463,22312,OFFICE MUG WARMER POLKADOT,24,12/7/2010 10:08,2.95,12681,France,70.8
537463,22313,OFFICE MUG WARMER PINK,18,12/7/2010 10:08,2.95,12681,France,53.1
537463,22301,COFFEE MUG CAT + BIRD DESIGN,18,12/7/2010 10:08,2.55,12681,France,45.9
537463,22300,COFFEE MUG DOG + BALL DESIGN,12,12/7/2010 10:08,2.55,12681,France,30.6
537463,22894,TABLECLOTH RED APPLES DESIGN ,4,12/7/2010 10:08,8.5,12681,France,34
537463,22365,DOORMAT RESPECTABLE HOUSE,2,12/7/2010 10:08,7.95,12681,France,15.9
537463,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,12/7/2010 10:08,3.25,12681,France,19.5
537463,20681,PINK POLKADOT CHILDRENS UMBRELLA,6,12/7/2010 10:08,3.25,12681,France,19.5
537463,84692,BOX OF 24 COCKTAIL PARASOLS,25,12/7/2010 10:08,0.42,12681,France,10.5
537463,22467,GUMBALL COAT RACK,36,12/7/2010 10:08,2.1,12681,France,75.6
537463,22413,METAL SIGN TAKE IT OR LEAVE IT ,6,12/7/2010 10:08,2.95,12681,France,17.7
537463,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,12/7/2010 10:08,1.25,12681,France,15
537463,22908,PACK OF 20 NAPKINS RED APPLES,12,12/7/2010 10:08,0.85,12681,France,10.2
537463,22348,TEA BAG PLATE RED RETROSPOT,36,12/7/2010 10:08,0.85,12681,France,30.6
537463,21719,LOVELY BONBON STICKER SHEET,12,12/7/2010 10:08,0.85,12681,France,10.2
537463,21721,CANDY SHOP  STICKER SHEET,12,12/7/2010 10:08,0.85,12681,France,10.2
537463,21544,SKULLS  WATER TRANSFER TATTOOS ,12,12/7/2010 10:08,0.85,12681,France,10.2
537463,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,6,12/7/2010 10:08,2.95,12681,France,17.7
537463,21731,RED TOADSTOOL LED NIGHT LIGHT,72,12/7/2010 10:08,1.65,12681,France,118.8
537463,POST,POSTAGE,4,12/7/2010 10:08,18,12681,France,72
537468,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,12/7/2010 10:36,3.95,12567,France,15.8
537468,21485,RETROSPOT HEART HOT WATER BOTTLE,6,12/7/2010 10:36,4.95,12567,France,29.7
537468,22837,HOT WATER BOTTLE BABUSHKA ,4,12/7/2010 10:36,4.65,12567,France,18.6
537468,22113,GREY HEART HOT WATER BOTTLE,4,12/7/2010 10:36,3.75,12567,France,15
537468,22111,SCOTTIE DOG HOT WATER BOTTLE,3,12/7/2010 10:36,4.95,12567,France,14.85
537468,22110,BIRD HOUSE HOT WATER BOTTLE,12,12/7/2010 10:36,2.55,12567,France,30.6
537468,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,12/7/2010 10:36,1.49,12567,France,17.88
537468,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,12/7/2010 10:36,3.75,12567,France,15
537468,22750,FELTCRAFT PRINCESS LOLA DOLL,4,12/7/2010 10:36,3.75,12567,France,15
537468,22272,FELTCRAFT DOLL MARIA,6,12/7/2010 10:36,2.95,12567,France,17.7
537468,20725,LUNCH BAG RED RETROSPOT,10,12/7/2010 10:36,1.65,12567,France,16.5
537468,22383,LUNCH BAG SUKI  DESIGN ,10,12/7/2010 10:36,1.65,12567,France,16.5
537468,22382,LUNCH BAG SPACEBOY DESIGN ,10,12/7/2010 10:36,1.65,12567,France,16.5
537468,22418,10 COLOUR SPACEBOY PEN,24,12/7/2010 10:36,0.85,12567,France,20.4
537468,22745,POPPY'S PLAYHOUSE BEDROOM ,6,12/7/2010 10:36,2.1,12567,France,12.6
537468,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/7/2010 10:36,2.1,12567,France,12.6
537468,22747,POPPY'S PLAYHOUSE BATHROOM,6,12/7/2010 10:36,2.1,12567,France,12.6
537468,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,24,12/7/2010 10:36,0.42,12567,France,10.08
537468,POST,POSTAGE,3,12/7/2010 10:36,18,12567,France,54
537468,22654,DELUXE SEWING KIT ,9,12/7/2010 10:36,5.95,12567,France,53.55
537693,22710,WRAP I LOVE LONDON ,25,12/8/2010 10:45,0.42,12441,France,10.5
537693,22052,VINTAGE CARAVAN GIFT WRAP,25,12/8/2010 10:45,0.42,12441,France,10.5
537693,22051,BLUE SCANDINAVIAN PAISLEY WRAP,25,12/8/2010 10:45,0.42,12441,France,10.5
537693,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,12/8/2010 10:45,2.95,12441,France,17.7
537693,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,12/8/2010 10:45,2.95,12441,France,17.7
537693,22742,MAKE YOUR OWN PLAYTIME CARD KIT,6,12/8/2010 10:45,2.95,12441,France,17.7
537693,22744,MAKE YOUR OWN MONSOON CARD KIT,6,12/8/2010 10:45,2.95,12441,France,17.7
537693,37495,FAIRY CAKE BIRTHDAY CANDLE SET,4,12/8/2010 10:45,3.75,12441,France,15
537693,47566B,TEA TIME PARTY BUNTING,5,12/8/2010 10:45,4.65,12441,France,23.25
537693,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,12/8/2010 10:45,1.25,12441,France,15
537693,POST,POSTAGE,1,12/8/2010 10:45,18,12441,France,18
C537893,22450,SILK PURSE BABUSHKA BLUE,-1,12/9/2010 10:14,3.35,12721,France,-3.35
C537893,22634,CHILDS BREAKFAST SET SPACEBOY ,-2,12/9/2010 10:14,9.95,12721,France,-19.9
C537893,22630,DOLLY GIRL LUNCH BOX,-2,12/9/2010 10:14,1.95,12721,France,-3.9
537897,POST,POSTAGE,1,12/9/2010 10:37,18,12683,France,18
537897,22601,CHRISTMAS RETROSPOT ANGEL WOOD,12,12/9/2010 10:37,0.85,12683,France,10.2
537897,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/9/2010 10:37,0.85,12683,France,17
537897,22255,FELT TOADSTOOL  SMALL,12,12/9/2010 10:37,0.85,12683,France,10.2
537897,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/9/2010 10:37,1.65,12683,France,19.8
537897,22752,SET 7 BABUSHKA NESTING BOXES,2,12/9/2010 10:37,8.5,12683,France,17
537897,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,12/9/2010 10:37,3.75,12683,France,15
537897,21481,FAWN BLUE HOT WATER BOTTLE,6,12/9/2010 10:37,2.95,12683,France,17.7
537897,22454,MEASURING TAPE BABUSHKA RED,6,12/9/2010 10:37,2.95,12683,France,17.7
537897,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,12/9/2010 10:37,1.49,12683,France,17.88
537897,22974,CHILDRENS DOLLY GIRL MUG,12,12/9/2010 10:37,1.65,12683,France,19.8
537897,20685,DOORMAT RED RETROSPOT,2,12/9/2010 10:37,7.95,12683,France,15.9
537897,22495,SET OF 2 ROUND TINS CAMEMBERT ,6,12/9/2010 10:37,2.95,12683,France,17.7
537967,21843,RED RETROSPOT CAKE STAND,2,12/9/2010 11:31,10.95,12494,France,21.9
537967,22667,RECIPE BOX RETROSPOT ,6,12/9/2010 11:31,2.95,12494,France,17.7
537967,POST,POSTAGE,1,12/9/2010 11:31,18,12494,France,18
538008,22331,WOODLAND PARTY BAG + STICKER SET,16,12/9/2010 12:17,1.65,12683,France,26.4
538008,22907,PACK OF 20 NAPKINS PANTRY DESIGN,24,12/9/2010 12:17,0.85,12683,France,20.4
538008,22908,PACK OF 20 NAPKINS RED APPLES,24,12/9/2010 12:17,0.85,12683,France,20.4
538008,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,12/9/2010 12:17,0.85,12683,France,10.2
538008,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,12/9/2010 12:17,1.25,12683,France,15
538008,22938,CUPCAKE LACE PAPER SET 6,12,12/9/2010 12:17,1.95,12683,France,23.4
538008,47599A,PINK PARTY BAGS,12,12/9/2010 12:17,2.1,12683,France,25.2
538008,47599B,BLUE PARTY BAGS ,12,12/9/2010 12:17,2.1,12683,France,25.2
538008,22704,WRAP RED APPLES ,25,12/9/2010 12:17,0.42,12683,France,10.5
538008,22894,TABLECLOTH RED APPLES DESIGN ,2,12/9/2010 12:17,8.5,12683,France,17
538008,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,6,12/9/2010 12:17,2.95,12683,France,17.7
538008,22897,OVEN MITT APPLES DESIGN,10,12/9/2010 12:17,1.45,12683,France,14.5
538008,22898,CHILDRENS APRON APPLES DESIGN,8,12/9/2010 12:17,1.95,12683,France,15.6
538008,22705,WRAP GREEN PEARS ,25,12/9/2010 12:17,0.42,12683,France,10.5
538008,22636,CHILDS BREAKFAST SET CIRCUS PARADE,4,12/9/2010 12:17,8.5,12683,France,34
538008,22630,DOLLY GIRL LUNCH BOX,12,12/9/2010 12:17,1.95,12683,France,23.4
538008,22899,CHILDREN'S APRON DOLLY GIRL ,12,12/9/2010 12:17,2.1,12683,France,25.2
538008,22333,RETROSPOT PARTY BAG + STICKER SET,16,12/9/2010 12:17,1.65,12683,France,26.4
538008,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,6,12/9/2010 12:17,3.75,12683,France,22.5
538008,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,12/9/2010 12:17,2.55,12683,France,15.3
538008,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,12/9/2010 12:17,2.55,12683,France,15.3
538008,22859,EASTER TIN BUNNY BOUQUET,6,12/9/2010 12:17,1.65,12683,France,9.9
538008,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,12/9/2010 12:17,0.55,12683,France,13.2
538008,84992,72 SWEETHEART FAIRY CAKE CASES,24,12/9/2010 12:17,0.55,12683,France,13.2
538008,21086,SET/6 RED SPOTTY PAPER CUPS,12,12/9/2010 12:17,0.65,12683,France,7.8
538008,21094,SET/6 RED SPOTTY PAPER PLATES,12,12/9/2010 12:17,0.85,12683,France,10.2
538008,21154,RED RETROSPOT OVEN GLOVE ,10,12/9/2010 12:17,1.25,12683,France,12.5
538008,21843,RED RETROSPOT CAKE STAND,2,12/9/2010 12:17,10.95,12683,France,21.9
538008,22435,SET OF 9 HEART SHAPED BALLOONS,12,12/9/2010 12:17,1.25,12683,France,15
538008,22437,SET OF 9 BLACK SKULL BALLOONS,20,12/9/2010 12:17,0.85,12683,France,17
538008,22972,CHILDREN'S SPACEBOY MUG,12,12/9/2010 12:17,1.65,12683,France,19.8
538008,22973,CHILDREN'S CIRCUS PARADE MUG,12,12/9/2010 12:17,1.65,12683,France,19.8
538008,22974,CHILDRENS DOLLY GIRL MUG,12,12/9/2010 12:17,1.65,12683,France,19.8
538008,22975,SPACEBOY CHILDRENS EGG CUP,12,12/9/2010 12:17,1.25,12683,France,15
538008,22976,CIRCUS PARADE CHILDRENS EGG CUP ,12,12/9/2010 12:17,1.25,12683,France,15
538008,22977,DOLLY GIRL CHILDRENS EGG CUP,12,12/9/2010 12:17,1.25,12683,France,15
538008,21121,SET/10 RED POLKADOT PARTY CANDLES,24,12/9/2010 12:17,1.25,12683,France,30
538008,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,12/9/2010 12:17,1.25,12683,France,30
538008,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,12/9/2010 12:17,1.25,12683,France,30
538008,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,12/9/2010 12:17,1.25,12683,France,30
538008,POST,POSTAGE,5,12/9/2010 12:17,18,12683,France,90
538093,22736,RIBBON REEL MAKING SNOWMEN ,10,12/9/2010 14:49,1.65,12682,France,16.5
538093,22738,RIBBON REEL SNOWY VILLAGE,10,12/9/2010 14:49,1.65,12682,France,16.5
538093,20679,EDWARDIAN PARASOL RED,12,12/9/2010 14:49,5.95,12682,France,71.4
538093,15056BL,EDWARDIAN PARASOL BLACK,12,12/9/2010 14:49,5.95,12682,France,71.4
538093,22077,6 RIBBONS RUSTIC CHARM,12,12/9/2010 14:49,1.65,12682,France,19.8
538093,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/9/2010 14:49,1.65,12682,France,19.8
538093,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,12/9/2010 14:49,1.25,12682,France,15
538093,22620,4 TRADITIONAL SPINNING TOPS,12,12/9/2010 14:49,1.25,12682,France,15
538093,22551,PLASTERS IN TIN SPACEBOY,12,12/9/2010 14:49,1.65,12682,France,19.8
538093,22556,PLASTERS IN TIN CIRCUS PARADE ,12,12/9/2010 14:49,1.65,12682,France,19.8
538093,22386,JUMBO BAG PINK POLKADOT,10,12/9/2010 14:49,1.95,12682,France,19.5
538093,22385,JUMBO BAG SPACEBOY DESIGN,10,12/9/2010 14:49,1.95,12682,France,19.5
538093,20725,LUNCH BAG RED RETROSPOT,10,12/9/2010 14:49,1.65,12682,France,16.5
538093,20726,LUNCH BAG WOODLAND,10,12/9/2010 14:49,1.65,12682,France,16.5
538093,22383,LUNCH BAG SUKI  DESIGN ,10,12/9/2010 14:49,1.65,12682,France,16.5
538093,22382,LUNCH BAG SPACEBOY DESIGN ,10,12/9/2010 14:49,1.65,12682,France,16.5
538093,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,12,12/9/2010 14:49,2.55,12682,France,30.6
538093,21558,SKULL LUNCH BOX WITH CUTLERY ,6,12/9/2010 14:49,2.55,12682,France,15.3
538093,22961,JAM MAKING SET PRINTED,12,12/9/2010 14:49,1.45,12682,France,17.4
538093,21452,TOADSTOOL MONEY BOX,6,12/9/2010 14:49,2.95,12682,France,17.7
538093,85232D,SET/3 DECOUPAGE STACKING TINS,3,12/9/2010 14:49,4.95,12682,France,14.85
538093,20749,ASSORTED COLOUR MINI CASES,2,12/9/2010 14:49,7.95,12682,France,15.9
538093,20750,RED RETROSPOT MINI CASES,4,12/9/2010 14:49,7.95,12682,France,31.8
538093,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,12/9/2010 14:49,1.65,12682,France,19.8
538093,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,12/9/2010 14:49,0.85,12682,France,10.2
538093,22197,SMALL POPCORN HOLDER,12,12/9/2010 14:49,0.85,12682,France,10.2
538093,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,12/9/2010 14:49,0.65,12682,France,7.8
538093,22321,BIRD DECORATION RED RETROSPOT,12,12/9/2010 14:49,0.85,12682,France,10.2
538093,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,12/9/2010 14:49,0.85,12682,France,10.2
538093,22948,METAL DECORATION NAUGHTY CHILDREN ,24,12/9/2010 14:49,0.85,12682,France,20.4
